원료명,영문명,CAS_No,설명_요약,태그_목록,상세_URL
흰서양송로추출물,,,,"추출물, 컨디셔닝, 피부 영양 공급, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EC%84%9C%EC%96%91%EC%86%A1%EB%A1%9C%EC%B6%94%EC%B6%9C%EB%AC%BC
힙네아 무스키포르미스추출물,,,,"추출물, 피부 장벽 강화, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9E%99%EB%84%A4%EC%95%84%20%EB%AC%B4%EC%8A%A4%ED%82%A4%ED%8F%AC%EB%A5%B4%EB%AF%B8%EC%8A%A4%EC%B6%94%EC%B6%9C%EB%AC%BC
히스티딘,,,,"보습제, 단백질/펩타이드, 보습, 컨디셔닝, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9E%88%EC%8A%A4%ED%8B%B0%EB%94%98
흰민들레뿌리추출물,,,,"추출물, 보습제, 항산화, 컨디셔닝, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, EU, 식, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EB%AF%BC%EB%93%A4%EB%A0%88%EB%BF%8C%EB%A6%AC%EC%B6%94%EC%B6%9C%EB%AC%BC
힙시지구스 울마리우스균사체추출물,,,,"추출물, 컨디셔닝, 피부 영양 공급, EWG GREEN, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%99%EC%8B%9C%EC%A7%80%EA%B5%AC%EC%8A%A4%20%EC%9A%B8%EB%A7%88%EB%A6%AC%EC%9A%B0%EC%8A%A4%EA%B7%A0%EC%82%AC%EC%B2%B4%EC%B6%94%EC%B6%9C%EB%AC%BC
흰전나무구과오일,,,,"향료, 탈취/소취/향, 🇪🇺유럽 수출 가능, EN, AI, EU, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%82%98%EB%AC%B4%EA%B5%AC%EA%B3%BC%EC%98%A4%EC%9D%BC
히솝잎오일,,,,"오일/에몰리언트, 향료, 컨디셔닝, 항균/항염, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EC%86%9D%EC%9E%8E%EC%98%A4%EC%9D%BC
흰소나무잔가지오일,,,,"오일/에몰리언트, 향료, 자극 완화/진정, 탈취/소취/향, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, EU, 식, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%86%8C%EB%82%98%EB%AC%B4%EC%9E%94%EA%B0%80%EC%A7%80%EC%98%A4%EC%9D%BC
흰전나무잎왁스,,,,"피부 장벽 강화, 컨디셔닝, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, EU, 식, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%82%98%EB%AC%B4%EC%9E%8E%EC%99%81%EC%8A%A4
흰전나무추출물,,,,"추출물, 컨디셔닝, 자극 완화/진정, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, EU, 식, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%82%98%EB%AC%B4%EC%B6%94%EC%B6%9C%EB%AC%BC
