brand,product_name,product_full,standard_ingredients,num_ingredients
메디힐,비타민씨 브라이트닝 세럼,메디힐 비타민씨 브라이트닝 세럼,,0
스킨앤랩,베리어덤 링거 앰플70ml 더블기획,스킨앤랩 베리어덤 링거 앰플70ml 더블기획,,0
디오디너리,레티놀 .% 인 스쿠알란,디오디너리 레티놀 .% 인 스쿠알란,,0
라로슈포제,멜라B3 세럼,라로슈포제 멜라B3 세럼,피피지-16,1
피지오겔,사이언수티컬즈 데일리뮨 앰플 세럼,피지오겔 사이언수티컬즈 데일리뮨 앰플 세럼,,0
닥터지,레드 블레미쉬 클리어 히알 시카 수딩 세럼 2종,닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼 2종,,0
마몽드,카밍 샷 아줄렌 앰플,마몽드 카밍 샷 아줄렌 앰플,,0
라운드랩,소나무 시카 앰플,라운드랩 소나무 시카 앰플,,0
유세린,하이알루론 에피셀린 세럼,유세린 하이알루론 에피셀린 세럼,,0
빛클,오로라 글로우 그립 프라이머 프렙,빛클 오로라 글로우 그립 프라이머 프렙,,0
메디큐브,제로 원데이 엑소좀샷 모공앰플,메디큐브 제로 원데이 엑소좀샷 모공앰플,,0
디오디너리,레티놀 .% 인 스쿠알란,디오디너리 레티놀 .% 인 스쿠알란,,0
아비브,글루타치온좀 세럼 비타 드롭,아비브 글루타치온좀 세럼 비타 드롭,,0
더마팩토리,나이아신아마이드 % 세럼,더마팩토리 나이아신아마이드 % 세럼,,0
에스트라,리제덤365 모공탄력 캡슐세럼,에스트라 리제덤365 모공탄력 캡슐세럼,,0
메디힐,마데카소사이드 리페어 세럼,메디힐 마데카소사이드 리페어 세럼,,0
NEW,빌리프 슈퍼 드랍스 비타C토닝세럼,NEW 빌리프 슈퍼 드랍스 비타C토닝세럼,,0
바이오던스,포어 퍼펙팅 콜라겐 펩타이드 세럼,바이오던스 포어 퍼펙팅 콜라겐 펩타이드 세럼,,0
바이오힐,보 프로바이오덤 콜라겐 리모델링 세럼,바이오힐 보 프로바이오덤 콜라겐 리모델링 세럼,,0
아이소이,아크니닥터 1st 컨트롤 세럼,아이소이 아크니닥터 1st 컨트롤 세럼,,0
코스알엑스,더 - 알부틴 세럼,코스알엑스 더 - 알부틴 세럼,,0
파티온,노스카나인 트러블 세럼,파티온 노스카나인 트러블 세럼,,0
아이오페,PDRN 카페인 샷,아이오페 PDRN 카페인 샷,,0
파티온,노스카나인 트러블 모공탄력 세럼,파티온 노스카나인 트러블 모공탄력 세럼,,0
나인위시스,하이드라 앰플 나노 플러스,나인위시스 하이드라 앰플 나노 플러스,,0
리덴스,톤앤스팟 코렉터 앰플 더블기획,리덴스 톤앤스팟 코렉터 앰플 더블기획,,0
SVR,하이드라 B3 앰플,SVR 하이드라 B3 앰플,,0
비플레인,녹두 타이트업 세럼,비플레인 녹두 타이트업 세럼,,0
