brand,product_name,product_full,standard_key,korean_name,english_name,family,pH,source_text,match_type,match_score
아벤느,오 떼르말 미스트,아벤느 오 떼르말 미스트,온천수,온천수,,,,온천수,exact,100
아벤느,오 떼르말 미스트,아벤느 오 떼르말 미스트,온천수,온천수,,,,온천수,exact,100
디오디너리,% 오가닉 콜드-프레스드 로즈 힙 씨드 오일,디오디너리 % 오가닉 콜드-프레스드 로즈 힙 씨드 오일,로즈힙씨오일,로즈힙씨오일,,,,로즈힙씨오일,exact,100
아벤느,오떼르말 미스트,아벤느 오떼르말 미스트,온천수,온천수,,,,온천수,exact,100
디오디너리,% 플랜트-디라이브드 스쿠알란,디오디너리 % 플랜트-디라이브드 스쿠알란,스쿠알란,스쿠알란,,,,스쿠알란,exact,100
유리아쥬,오떼르말,유리아쥬 오떼르말,온천수,온천수,,,,온천수,exact,100
아벤느,오떼르말 미스트,아벤느 오떼르말 미스트,온천수,온천수,,,,온천수,exact,100
아벤느,오 떼르말 미스트 *,아벤느 오 떼르말 미스트 *,온천수,온천수,,,,온천수,exact,100
프라나롬,캐모마일 하이드롤라,프라나롬 캐모마일 하이드롤라,캐모마일꽃수,캐모마일꽃수,,,,캐모마일꽃수,exact,100
트릴로지,써티파이드 오가닉 % 로즈힙 오일,트릴로지 써티파이드 오가닉 % 로즈힙 오일,로즈힙씨오일,로즈힙씨오일,,,,로즈힙씨오일,exact,100
AHC,텐 레볼루션 리얼 아이크림 포 페이스 스페셜 퍼밍,AHC 텐 레볼루션 리얼 아이크림 포 페이스 스페셜 퍼밍,히스티딘,히스티딘,,,,히스티딘,exact,100
AHC,텐 레볼루션 리얼 아이크림 포 페이스,AHC 텐 레볼루션 리얼 아이크림 포 페이스,히스티딘,히스티딘,,,,히스티딘,exact,100
클레어스,미드나잇 블루 카밍 크림,클레어스 미드나잇 블루 카밍 크림,폴릭애씨드,폴릭애씨드,,,,폴릭애씨드,exact,100
미프,비타민 톤업 화이트닝 크림,미프 비타민 톤업 화이트닝 크림,피피지-17,피피지-17,,,,피피지-17,exact,100
AHC,유스래스팅 리얼 아이크림 포 페이스 스페셜 링클케어,AHC 유스래스팅 리얼 아이크림 포 페이스 스페셜 링클케어,히스티딘,히스티딘,,,,히스티딘,exact,100
휴캄,킨츠키 크림,휴캄 킨츠키 크림,글루코오스,글루코오스,,,,글루코오스,exact,100
휴캄,킨츠키 크림,휴캄 킨츠키 크림,콩,콩,,,,콩,exact,100
AHC,텐 레볼루션 리얼 아이크림 포 페이스,AHC 텐 레볼루션 리얼 아이크림 포 페이스,히스티딘,히스티딘,,,,히스티딘,exact,100
랩시리즈,데일리 레스큐 에너자이징 젤크림,랩시리즈 데일리 레스큐 에너자이징 젤크림,피이지-10,피이지-10,,,,피이지-10,exact,100
키엘,칼렌듈라 세럼-인퓨즈드 워터 크림,키엘 칼렌듈라 세럼-인퓨즈드 워터 크림,피이지-10,피이지-10,,,,피이지-10,exact,100
랑콤,제니피끄 얼티미트 아이 크림,랑콤 제니피끄 얼티미트 아이 크림,피이지-10,피이지-10,,,,피이지-10,exact,100
랑콤,제니피끄 얼티미트 아이 크림,랑콤 제니피끄 얼티미트 아이 크림,피피지-16,피피지-16,,,,피피지-16,exact,100
닥터멜락신,아이팔트 레티놀 아이백 아이크림,닥터멜락신 아이팔트 레티놀 아이백 아이크림,아디픽애씨드,아디픽애씨드,,,,아디픽애씨드,exact,100
미프,미남크림 톤업화이트닝,미프 미남크림 톤업화이트닝,피피지-17,피피지-17,,,,피피지-17,exact,100
AHC,텐션 아이크림 스틱 포 페이스,AHC 텐션 아이크림 스틱 포 페이스,히스티딘,히스티딘,,,,히스티딘,exact,100
AHC,유스 래스팅 리얼 아이크림 포 페이스,AHC 유스 래스팅 리얼 아이크림 포 페이스,히스티딘,히스티딘,,,,히스티딘,exact,100
